GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
495772753,20151220,201512,2015,2015.9589,INDLEG,MAHARASHTRA,IND,,,,,LEG,,,,,,,,,,,,,1,053,053,05,1,3.8,1,1,1,-4.3956043956044,4,"Shiv, Rajasthan, India",IN,IN24,26.1833,71.25,-2111141,0,,,,,,,4,"Shiv, Rajasthan, India",IN,IN24,26.1833,71.25,-2111141,20151220,http://echoofindia.com/mumbai-shiv-sena-blasts-fadnavis-supporting-separate-vidarbha-issue-100408
495772755,20151220,201512,2015,2015.9589,INDLEG,MAHARASHTRA,IND,,,,,LEG,,,sen,SENA,,,sen,,,,,,1,053,053,05,1,3.8,9,1,9,-4.3956043956044,4,"Shiv, Rajasthan, India",IN,IN24,26.1833,71.25,-2111141,4,"Shiv, Rajasthan, India",IN,IN24,26.1833,71.25,-2111141,4,"Shiv, Rajasthan, India",IN,IN24,26.1833,71.25,-2111141,20151220,http://echoofindia.com/mumbai-shiv-sena-blasts-fadnavis-supporting-separate-vidarbha-issue-100408
495804811,20151220,201512,2015,2015.9589,INDLEG,HARYANA,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,2,1,2,-1.24653739612188,4,"Haryana, Haryana, India",IN,IN10,29.6161,76.9806,6210381,0,,,,,,,4,"Rohtak, Haryana, India",IN,IN10,28.9,76.5667,-2109525,20151220,http://www.firstpost.com/politics/spreading-propaganda-how-haryana-is-insulting-bhagat-singh-to-honour-a-bjp-leader-2552930.html
495818289,20151220,201512,2015,2015.9589,INDLEG,HARYANA,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,2,1,2,-1.21951219512195,4,"Haryana, Haryana, India",IN,IN10,29.6161,76.9806,6210381,0,,,,,,,4,"Haryana, Haryana, India",IN,IN10,29.6161,76.9806,6210381,20151220,http://m.firstpost.com/politics/spreading-propaganda-how-haryana-is-insulting-bhagat-singh-to-honour-a-bjp-leader-2552930.html
495822701,20151220,201512,2015,2015.9589,INDLEG,HARYANA,IND,,,,,LEG,,,PAK,PAKISTAN,PAK,,,,,,,,0,051,051,05,1,3.4,6,1,6,-1.22116689280868,4,"Kanyakumari, Tamil Nadu, India",IN,IN25,8.07611,77.5483,-2099548,4,"Lahore, Punjab, Pakistan",PK,PK04,31.5497,74.3436,-2767043,4,"Kanyakumari, Tamil Nadu, India",IN,IN25,8.07611,77.5483,-2099548,20151220,http://www.in.com/news/politics/spreading-propaganda-how-haryana-is-insulting-bhagat-singh-to-honour-a-bjp-leader-53426210-in-1.html
497067952,20151225,201512,2015,2015.9726,INDLEG,MANIPUR,IND,,,,,LEG,,,CHRPRO921,THE CHRISTIAN COMMUNITY,,,,CHR,PRO,,,,1,051,051,05,1,3.4,10,1,10,13.2478632478632,0,,,,,,,0,,,,,,,0,,,,,,,20151225,http://kanglaonline.com/2015/12/guv-cm-speaker-greet/
475039021,20151011,201510,2015,2015.7699,INDLEG,MUMBAI,IND,,,,,LEG,,,GOVLEG,PRESIDENT,,,,,,GOV,LEG,,1,051,051,05,1,3.4,66,25,62,0.170564271907932,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,4,"Mumbai, Maharashtra, India",IN,IN16,18.975,72.8258,-2092174,20151011,http://www.canindia.com/2015/10/pm-lays-foundation-for-ambedkar-memorial-shiv-sena-boycotts-event/
477262073,20151018,201510,2015,2015.789,INDLEG,MANIPUR,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,5,1,5,1.57894736842105,0,,,,,,,0,,,,,,,0,,,,,,,20151018,http://kanglaonline.com/2015/10/circa-observes-manipur-state-assembly-day-urges-govt-to-put-celebration-in-official-calendar/
482858135,20151108,201511,2015,2015.8438,INDLEG,KERALA,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,70,7,70,2.28129261392905,0,,,,,,,0,,,,,,,0,,,,,,,20151108,http://www.thehindu.com/news/cities/Kochi/wakeup-call-to-both-fronts/article7857327.ece
483038260,20151108,201511,2015,2015.8438,INDLEG,KERALA,IND,,,,,LEG,,,CVL,VILLAGE,,,,,,CVL,,,0,051,051,05,1,3.4,2,1,2,0.53667262969589,5,"Kerala, Kerala, India",IN,IN13,10.0,76.5,-2100307,5,"Kerala, Kerala, India",IN,IN13,10.0,76.5,-2100307,5,"Kerala, Kerala, India",IN,IN13,10.0,76.5,-2100307,20151108,http://www.gulf-times.com/india/185/details/462124/kerala-civic-elections-an-eye-opener-for-chandy
472833456,20151004,201510,2015,2015.7507,INDLEG,KERALA,IND,,,,,LEG,,,IND,KERALA,IND,,,,,,,,1,051,051,05,1,3.4,10,1,10,1.0,0,,,,,,,0,,,,,,,0,,,,,,,20151004,http://www.madhyamam.com/en/node/36649
